Release Year,Technobasin,Case,rate,Year,kg CO2 eq / MJ
2023,Appalachian,LRC,avg,2039,0.0573607759112268
2023,Arkla,LRC,avg,2039,0.0577651411516759
2023,Arkoma,LRC,avg,2039,0.0654553260746892
2023,East Texas,LRC,avg,2039,0.0624772327651084
2023,Fort Worth,LRC,avg,2039,0.0630320173786894
2023,Green River,LRC,avg,2039,0.0592226597253
2023,Gulf,LRC,avg,2039,0.0611655703658836
2023,Permian,LRC,avg,2039,0.0614144504951215
2023,Piceance,LRC,avg,2039,0.0622808738775203
2023,San Juan,LRC,avg,2039,0.068420903262267
2023,South Oklahoma,LRC,avg,2039,0.0621574190915091
2023,Strawn,LRC,avg,2039,0.0626954521096671
2023,US,LRC,avg,2039,0.0598494819371898
2023,Uinta,LRC,avg,2039,0.0623037335245573
2023,Anadarko,REF,avg,2039,0.0642285066584214
2023,Appalachian,REF,avg,2039,0.0573607759112268
2023,Arkla,REF,avg,2039,0.0577615174168952
2023,Arkoma,REF,avg,2039,0.0654463013322446
2023,East Texas,REF,avg,2039,0.0624781111412151
2023,Fort Worth,REF,avg,2039,0.0630320173786894
2023,Green River,REF,avg,2039,0.0592221370113352
2023,Gulf,REF,avg,2039,0.0611664262084416
2023,Permian,REF,avg,2039,0.0614151249527377
2023,Piceance,REF,avg,2039,0.0622808738775203
2023,San Juan,REF,avg,2039,0.0684066691368604
2023,South Oklahoma,REF,avg,2039,0.0621574190915091
2023,Strawn,REF,avg,2039,0.0626954521096671
2023,US,REF,avg,2039,0.0598454830390958
2023,Uinta,REF,avg,2039,0.0623054920690116
2023,Anadarko,LRC,avg,2040,0.0642553893526333
2023,Appalachian,LRC,avg,2040,0.0573607759112268
2023,Arkla,LRC,avg,2040,0.0577675892060429
2023,Arkoma,LRC,avg,2040,0.0654594282303458
2023,East Texas,LRC,avg,2040,0.0624779996195306
2023,Fort Worth,LRC,avg,2040,0.0630320173786894
2023,Green River,LRC,avg,2040,0.0592221370113352
2023,Gulf,LRC,avg,2040,0.0611657028309155
2023,Permian,LRC,avg,2040,0.0614140650907693
